ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.86977550328786,234.84613355838434,25498.693617993937,7.945582810978976,,346.0663044242992,12.177135371241246,82.17621280541599,3.468609915814432,1
6.860159761137816,200.78566882950744,15459.97277637164,6.0880429239106935,245.6113532624429,450.75588017637665,11.090818109691869,56.63146911256986,4.436399918914336,1
,198.9871777149241,19554.488109516493,5.510287787806673,257.08727332368386,349.4795631699549,6.38562087871606,47.430380185250044,3.3588775334934615,1
9.50161747168876,214.58741951429104,9712.959899891923,5.832796667884481,367.6842878349447,443.7949883162458,13.680527348441073,64.05172244671469,3.273467396677421,1
6.707696134189896,168.03720304997424,21065.865693023534,6.4005589714304065,,362.4012090375447,19.309141785570965,44.339136038119236,3.917117920531662,1
6.707722238450803,197.35743503491503,31765.622126685652,6.560902838744236,292.86291859015256,250.27854652665522,16.696565106299445,61.91088311870122,3.0138262583830135,1
9.590948376656753,125.59962905325015,28023.104078094053,10.54152389448636,,446.67101118387893,15.03371718215542,61.859285584708275,5.219662350460603,0
8.300221219353125,225.18786162413653,34307.70691497464,8.786300593009964,347.35027792174293,433.88883474261957,11.85044346890291,,5.473268047638663,0
,145.02810284611166,19358.219537781464,8.73914309740513,369.9019758990093,463.73518666558846,17.581192837262545,74.98567694938617,3.6161997333709843,0
7.942670469301684,245.8024439587455,33817.46027518388,8.966356975551943,326.8942533644712,367.4991729470639,13.885086177931987,63.44407957509624,2.8884558948854115,1
6.343165868428185,185.5156513103831,20319.088359095123,5.5418630264522015,444.7702205013381,358.88721550145516,19.493032578641785,85.52308460584993,4.232541790343608,0
6.3394896918232915,189.4103896341029,34917.78680746989,5.188663908320162,308.74103589561327,454.3365515024785,11.032601158494604,69.88730743306826,3.5939600359842396,0
7.464720011789995,175.73010916794146,21822.437580081416,5.37114493937619,406.03700565448656,544.6571618519539,11.797600862410507,,4.886251283371865,1
4.037884410994101,186.89928182544213,28215.497807398966,9.228519690673783,331.23821861906157,422.79259852830137,11.475536484633029,85.65482702688996,3.3560256554866754,0
4.337380646304277,243.01131062846744,34948.71602431647,6.255436973565664,,456.20496746253025,9.374188193863416,64.26881760076932,4.394720313494186,1
,114.57085137312659,20318.0062988517,5.142857232061926,353.7795950488866,395.8992833447143,11.178382092015266,66.38668080418208,4.058914999725521,1
5.469598518668266,238.35662189457963,23929.04912451022,6.439026003652695,346.81746529547286,297.1337812221688,14.621645819825186,40.94007064554606,3.4425160217215405,1
7.579653258826486,207.48421205862417,33315.579164361225,6.743003259890889,290.23425045421106,500.07764565603094,11.922614607744421,86.45572071789003,4.1572388662237145,1
,156.68312821845475,20847.84244685776,7.544092972437408,,495.3080388029436,2.2,64.04261607250525,4.655255395610383,1
4.834437114876886,161.01372851654105,10431.753558384951,7.516502612725028,,479.3347567146592,17.8358446144606,50.127279695369666,4.03774184486321,1
9.41038154258527,251.48980273460572,40805.1973686216,5.8114747090798575,348.26655450757136,407.1851696731657,8.705649755860087,78.36870983136659,4.0458820387984815,1
6.721015682226408,165.281733787483,17894.92741094731,8.203337100171662,231.44512682313518,470.1440739808688,16.230345622974767,31.13114031401841,3.289228926274134,1
7.187369845453799,158.44783521160485,23406.15354556941,6.11007421667475,,494.12382846488447,14.383320291806259,59.454343073911986,4.862479742365226,1
4.814650383920604,233.76490215295232,32150.61540154907,6.873083388006032,313.2978939245836,552.8312249182011,21.288504022351333,81.0964726468076,4.784746330951684,0
6.2144314680049595,207.50161857228088,16678.468610559696,8.205103031395302,278.6190191962275,501.78267977760623,17.579929263839873,59.31766043519166,3.649763832824533,1
7.256366917638688,165.5310070434832,13176.529652157826,6.105922181767941,,427.0480314072187,12.609758788944735,54.78402283365196,3.8730550016032637,0
5.249920211898539,203.49262919130388,24239.003248380897,6.2204247507418025,332.8017432924875,316.1569718966023,11.956169608603917,59.666615382712465,5.073092124698455,1
7.677359849169618,162.6432517619077,6291.374089557359,8.054835518515148,384.15358647432095,434.4703036178301,19.254028623445635,33.87934450089848,3.085814759582985,1
6.1249844830291,232.56500758013527,19489.565411558262,5.764781580964069,351.91998273262146,442.62658513254104,9.394866668594325,77.97644102624949,4.44134494525985,1
6.61620693782869,231.26787732502862,24162.72868075614,6.512028602705568,333.7172692878919,479.1937864412253,14.911812587890923,64.41170384081356,3.53428125695772,1
6.1232864865552585,213.8623638172655,19646.99789605577,7.99807264130777,,531.3115400705192,13.845991266643585,61.99378781028476,5.35690074386628,1
10.025122313369211,208.26141569380192,8480.232363109755,10.36546605746884,353.7739625422352,414.19993561557106,13.143921712587522,62.05294178650172,4.019488448358963,1
7.058539412666685,254.27786554563926,35992.75100143181,8.07653911752514,316.6515352601175,591.6917846806956,15.450131288524288,66.62781113915698,4.9530952441492335,0
5.398239622960118,196.35968644452484,22921.971550574122,7.866770825524219,298.46644337412,279.70442304032053,14.907443138283716,76.97261665747405,3.37616466820032,1
8.387846410244071,157.50997875616406,34563.24752524207,7.958666502202913,359.04243586035534,455.7812101323485,15.793996458640674,65.55761190339616,2.9961476277870713,1
5.138858596546075,211.14870225392625,19733.94393775526,5.424359366974062,327.7953136073717,357.35358190368686,14.74000940932247,44.36872065045064,3.7872776233831327,0
7.412093116057561,264.9592269887803,14297.64333770582,7.302642847114255,335.1703719830182,267.74831798515095,15.662525450607088,75.711850846583,4.174893097198533,1
3.9641245030311567,163.00470786404918,24374.42174192179,7.0729689484284854,378.90211281352384,405.58259490750197,14.589038788603578,,3.571629288027198,1
4.968184182251496,184.48510423110176,20121.945477692163,7.628103573788955,329.0632309075856,304.1213025136183,12.097297003313999,69.72542683114233,4.561479792494475,1
7.393009365031906,210.06274573277577,11686.806212300718,7.304082722911876,334.40270519594094,408.84339728098774,14.29324417138313,83.79740434663415,3.806236217107865,1
8.254161862192703,194.5976085646913,34901.99615807627,7.719925490319038,,424.700050630994,11.915380487379693,66.89152698436168,2.346479013822048,1
,164.07185827719388,16557.669991638395,6.627881832059262,351.6212480655282,512.2905167025314,11.696953438340884,,4.401193343770541,1
6.8961192310026975,233.25668631285788,5877.585386273122,7.212602089447433,348.2698721432092,300.0469694083786,13.16734349100424,89.16867432752046,3.2816210938652173,1
6.6012451240130305,272.6529389399275,33660.207015748645,5.180030865629952,371.09010595876487,495.31053828749134,13.884709337964361,75.82182248778614,3.687954042292316,1
4.72915003531579,202.81880237270607,17592.117547485905,6.614546500755396,309.7924835711752,429.81686199161294,14.396595764011254,54.298433998014985,5.181442338760697,0
5.935447708652413,166.64423463348032,16684.343649927418,9.317517006119097,314.81722111957447,505.0415885947274,17.31321391857262,64.28388707463051,5.35279314481445,0
6.347584354173938,145.44017793624175,6534.165365996581,7.623717176612645,,386.99587003398426,12.630083886789809,86.44469063106449,3.5211151206276075,1
8.760824339688076,204.85225026255245,37279.65729112978,7.086944760934738,344.2266625992898,314.21799249777837,14.931579876631655,42.168381126995385,4.420673571892835,1
7.626353080413853,232.66548704823856,10707.18920741075,10.115874776481867,296.2444452130986,323.4917044552337,14.67067173315404,60.05818964887012,3.5392258974703372,1
4.276766152973253,211.99351550476814,22526.60836303114,4.969880734284295,387.89746948556297,317.4861215946237,12.265440368487324,60.850828946291685,3.74623907645909,1
,196.29096171058808,30016.46518161843,5.367060222394973,263.43017745686154,460.50693983904733,14.524082002343663,,3.497495176379129,0
6.467719174138057,176.99474808916762,25711.944447222966,9.82608402981651,366.2650744801846,541.254837835392,17.599007884236908,80.52318140968598,2.625011929290742,0
,160.4596597562292,21491.00698949463,7.192618278957315,281.37491746895466,376.23061761572507,14.897335577884053,72.49686784943978,4.044143074512293,1
,223.81662360956213,7092.913804996711,6.736718802662126,411.8893603528305,472.736714805194,15.029992805080388,54.89507579020405,4.194769001818011,1
8.719289240768562,226.41481091115807,14913.961096836068,5.225257166348884,269.802679311569,298.7654128614792,11.94536322457977,76.19719904941589,3.4466186386573123,1
8.560735389394756,145.5464046136087,23660.830410149516,7.827360100904119,381.5062220005692,436.4635633585093,20.79692279748814,63.83682532306824,4.818477534920945,0
5.745644138076004,248.6439056025809,15111.699065134124,7.980246593853391,330.39870480833423,475.92323065236656,12.133940414232521,51.9966518052625,3.6298574306657287,1
6.5883523223965685,215.24546174299476,23797.261660161395,5.390698909880864,318.5953215572792,304.8525556621235,8.759636745587848,54.86498012227042,3.4729747766099686,1
7.606708855931667,242.3886719323937,27992.004802234187,6.898364574830324,,405.4121380370481,17.12720943792183,73.4553063898747,4.380672432124323,1
8.631116752124552,152.24083962980941,30453.863929340198,6.589884985387756,359.9533120479166,479.75042329404334,13.89995559876371,81.59317983448335,2.766708047821427,0
6.318112961825989,151.46170176994036,11262.25046846444,7.524443891341658,296.31973119345537,184.78265629091368,13.27693157266518,58.524089990791566,4.677209644728189,1
6.784802227104531,191.4718890948513,41275.53469830681,5.351584617291383,,529.8213164467348,12.474216986837845,75.20906077876461,3.656308057232397,1
5.320927391330415,212.901551956314,28743.786356277014,9.098076978130788,360.68663351297573,450.4743671595145,20.475375406485423,91.99278226960368,4.74164313958739,0
5.178031467711733,255.43434385783857,21999.059323562054,8.567001574924214,,479.8159284885156,15.4536938221815,46.031474397929316,4.9747418101467415,0
8.371916057606775,219.58587468624154,31567.767796268337,6.546182617202151,309.58123095998377,388.5340278554791,16.09967654364523,72.15473854252893,4.46931968503857,1
9.236421645427608,188.39063961842035,42755.3336273258,6.778058435611373,459.725253641284,282.65956903988797,14.818257714057305,79.8400090851597,3.3366608316719173,1
6.965503906687269,162.62298045194547,9398.572083475767,6.904453002561366,293.684903006712,465.052968129536,15.1738642205036,64.86047596743093,2.9943512689421645,1
8.675617307648318,236.81241883100566,20038.85875092959,5.890272486249724,381.3219916346889,415.2150498998375,18.90944746095166,86.43542235164438,2.851423322598516,0
7.655001279825738,164.6504856013165,1158.6455001845316,6.419381519188644,309.5099191598739,424.4855711080401,13.44967107133633,101.97718327906759,4.830270347327023,1
